code,code_name_th,code_name_en
663,พันตำรวจโท,POL.LT.COL.
664,ว่าที่พันตำรวจโท,
665,พันตำรวจตรี,POL.MAJ.
667,ร้อยตำรวจเอก,POL.CAPT.
669,ร้อยตำรวจโท,POL.LT.
671,ร้อยตำรวจตรี,POL.SUB LT.
673,นายดาบตำรวจ,POL.SEN.SGT.MAJ.
674,จ่าสิบตำรวจ,
675,สิบตำรวจเอก,POL.SGT.
676,สิบตำรวจโท,POL.CPR.
677,สิบตำรวจตรี,POL.L/C
680,นักเรียนพลตำรวจ,
681,พลตำรวจ,
682,พลตำรวจพิเศษ,
683,พลตำรวจอาสาสมัคร,
684,พลตำรวจสำรอง,
686,พลตำรวจสมัคร,
688,นายกองใหญ่,
689,นายกองเอก,
690,นายกองโท,
691,นายกองตรี,
692,นายหมวดเอก,
693,นายหมวดโท,
694,นายหมวดตรี,
695,นายหมู่ใหญ่,
696,นายหมู่เอก,
697,นายหมู่โท,
698,นายหมู่ตรี,
699,สมาชิกเอก,
700,สมาชิกโท,
701,สมาชิกตรี,
724,พันตำรวจตรีหลวง,
732,ว่าที่สิบเอก,
801,สมเด็จพระสังฆราช*,
802,สมเด็จพระราชาคณะ*,
804,พระราชาคณะ*,
805,พระเปรียญธรรม*,
806,พระหิรัญยบัฏ*,
807,พระสัญญาบัตร*,
808,พระราช*,PHRARAT
809,พระเทพ*,PHRATHEP
810,พระปลัดขวา*,
811,พระปลัดซ้าย*,
812,พระครูปลัด,RHRAKHRUPALAD
816,พระสมุห์*,PHRASAMU
817,พระครูสมุห์,PHRAKHRUSAMU
818,พระครู,PHRAKHRU
819,พระครูใบฎีกา*,PHRAKHRUBAIDIKA
820,พระครูธรรมธร*,PHRAKHRUTHAMMATHON
821,พระครูวิมลภาณ*,
822,พระครูศัพทมงคล*,
824,พระครูสังฆรักษ์*,PHRAKHRUSANGKHARAK
826,พระครูสังฆวิชิต*,
827,พระปิฎก*,
828,พระปริยัติ*,
829,เจ้าอธิการ,CHAOATHIKAN
830,พระอธิการ,PHRAATHIKAN
831,พระ,PHRA
832,สามเณร,
833,พระปลัด,PHRAPARAD
835,พระคาร์ดินัล,H.E.CARDINAL
836,พระสังฆราช*,
837,พระคุณเจ้า*,
838,บาทหลวง,REV.
839,พระมหา,PHRAMAHA
840,พระราชปัญญา*,
841,ภาราดา,
843,พระญาณโศภณ*,
845,พระโสภณธรรมาภรณ์*,
847,พระญาณ*,PHRAYANNA
848,พระอัครสังฆราช*,
849,พระธรรม*,PHRATHAM
850,พระสาสนโสภณ*,
851,พระธรรมโสภณ*,
852,พระอุดมสารโสภณ*,
856,พระอธิธรรม*,
857,พระราชญาณ*,
858,พระสุธีวัชโรดม*,
859,รองเจ้าอธิการ*,
860,พระครูวินัยธร*,PHRAKHRUWINAITHORN
861,พระศรีวชิราภรณ์*,
862,พระราชบัณฑิต*,
863,แม่ชี,
864,นักบวช,
865,พระรัตน*,
872,พระครูพัฒนสารคุณ*,
880,พระครูพิพิธวรคุณ*,
881,พระครูสุนทรปภากร*,
887,พระครูวรสังฆกิจ*,
893,พระสรภาณโกศล*,
899,พระธรรมเมธาจารย์*,
908,พระพรหมมุนี*,
912,พระพิศาลสารคุณ*,
916,พระครูวชิรวุฒิกร*,
919,พระราชพัชราภรณ์*,
921,องสุตบทบวร*,
922,พระครูจันทเขมคุณ*,
926,พระครูบรรณวัตร*,
927,พระครูวิสุทธาจาร*,
931,พระราชเมธาภรณ์*,
934,พระมหานายก*,
938,พระราชวชิราภรณ์*,
939,พระครูสุนทรวรธัช*,
942,พระพรหมวชิรญาณ*,
944,พระราชาวิมลโมลี*,
948,พระครูปิยสีลสาร*,
954,พระเทพญาณกวี*,
957,พระครูภาวนาวรกิจ*,
958,พระครูศรีศาสนคุณ*,
962,นาวาเอกหญิง,
963,นาวาโทหญิง,
964,นาวาตรีหญิง,
965,เรือเอกหญิง,
966,เรือโทหญิง,
967,เรือตรีหญิง,
968,พันจ่าเอกหญิง,
969,พันจ่าโทหญิง,
970,พันจ่าตรีหญิง,
972,จ่าเอกหญิง,
974,จ่าโทหญิง,
976,จ่าตรีหญิง,
977,นาวาอากาศหญิง,
nnn,ไม่จัดเก็บข้อมูล,
